rank,time,date,name,position,DOB,venue,nationality
1,14:29.32,31 AUG 2001,Olga YEGOROVA,1,28 MAR 1972,Berlin (GER),RUS
2,14:31.69,31 AUG 2001,Gete WAMI,2,11 DEC 1974,Berlin (GER),ETH
3,14:32.44,31 AUG 2001,Paula RADCLIFFE,3,17 DEC 1973,Berlin (GER),GBR
4,14:39.22,31 AUG 2001,Tatyana TOMASHOVA,4,01 JUL 1975,Berlin (GER),RUS
5,14:40.47,24 JUN 2001,Yelena ZADOROZHNAYA,1,03 DEC 1977,Bremen (GER),RUS
6,14:45.86,17 JUL 2001,Edith MASAI,1,04 APR 1967,Stockholm (SWE),KEN
7,14:46.92,13 JUL 2001,Gabriela SZABO,2,14 NOV 1975,Oslo (NOR),ROU
8,14:48.97,13 JUL 2001,Rose CHERUIYOT,3,21 JUL 1976,Oslo (NOR),KEN
9,14:49.32,13 JUL 2001,Asmae LEGHZAOUI,4,30 AUG 1976,Oslo (NOR),MAR
10,14:51.58,23 NOV 2001,Yanmei DONG,1,16 FEB 1977,Guangzhou (CHN),CHN
11,14:51.67,04 JUN 2001,Berhane ADERE,1,23 NOV 1973,Hengelo (NED),ETH
12,14:53.00,04 JUN 2001,Irina MIKITENKO,2,23 AUG 1972,Hengelo (NED),GER
13,14:54.00,04 JUN 2001,Ayelech WORKU,3,12 JUN 1979,Hengelo (NED),ETH
14,14:55.27,13 JUL 2001,Susan CHEPKEMEI,5,25 JUN 1975,Oslo (NOR),KEN
15,14:56.15,23 NOV 2001,Huina XING,2,25 FEB 1984,Guangzhou (CHN),CHN
16,14:56.75,04 JUN 2001,Pamela CHEPCHUMBA,4,08 MAR 1979,Hengelo (NED),KEN
17,14:56.95,31 AUG 2001,Leah MALOT,5,07 JUN 1972,Berlin (GER),KEN
18,14:58.12,17 JUL 2001,Marta DOM&#205;NGUEZ,2,03 NOV 1975,Stockholm (SWE),ESP
19,15:00.56,31 AUG 2001,Joanne PAVEY,6,20 SEP 1973,Berlin (GER),GBR
20,15:02.62,31 AUG 2001,Ebru KAVAKLIOGLU,7,14 MAR 1970,Berlin (GER),TUR
21,15:02.70,23 NOV 2001,Yingjie SUN,3,19 JAN 1979,Guangzhou (CHN),CHN
22,15:03.56,13 JUL 2001,Elva DRYER,6,26 SEP 1971,Oslo (NOR),USA
23,15:04.18,13 JUL 2001,Benita WILLIS-JOHNSON,7,06 MAY 1979,Oslo (NOR),AUS
24,15:05.33,22 JUL 2001,Restituta JOSEPH KEMI,3,30 JUL 1971,London (GBR),TAN
25,15:05.48,22 JUL 2001,Marla RUNYAN,4,04 JAN 1969,London (GBR),USA
26,15:06.08,04 JUN 2001,Merima DENBOBA,6,21 AUG 1974,Hengelo (NED),ETH
27,15:06.35,22 JUL 2001,Fatima MAAMA-YVELAIN,5,31 DEC 1969,London (GBR),FRA
28,15:08.02,17 JUL 2001,Deena KASTOR,5,14 FEB 1973,Stockholm (SWE),USA
29,15:08.07,22 JUN 2001,Lornah KIPLAGAT,1,01 MAY 1974,Utrecht (NED),KEN
30,15:08.42,23 NOV 2001,Lingling GUO,4,18 JUN 1986,Guangzhou (CHN),CHN
31,15:08.65,14 JUL 2001,Meseret DEFAR,2,19 NOV 1983,Heusden-Zolder (BEL),ETH
32,15:08.78,24 JUN 2001,Mihaela Maria BOTEZAN-PRUNDUS,3,21 NOV 1976,Bremen (GER),ROU
33,15:09.31,31 AUG 2001,Tegla LOROUPE,9,09 MAY 1973,Berlin (GER),KEN
34,15:10.23,14 JUL 2001,Kayoko FUKUSHI,3,25 MAR 1982,Heusden-Zolder (BEL),JPN
35,15:10.54,22 JUL 2001,Susanne PUMPER,6,01 SEP 1970,London (GBR),AUT
36,15:10.78,24 JUN 2001,Regina JACOBS,2,28 AUG 1963,Eugene (USA),USA
37,15:10.83,14 JUL 2001,Amy RUDOLPH,4,18 SEP 1973,Heusden-Zolder (BEL),USA
38,15:11.01,14 JUL 2001,Beatriz SANTIAGO S&#193;NCHEZ,5,28 OCT 1968,Heusden-Zolder (BEL),ESP
39,15:12.76,04 JUL 2001,Teresa RECIO,1,07 JUL 1963,Braga (POR),ESP
40,15:13.26,13 JUL 2001,Jennifer RHINES,8,01 JUL 1974,Oslo (NOR),USA
41,15:14.62,12 MAY 2001,Kathy BUTLER,1,22 OCT 1973,Madison (USA),GBR
42,15:14.73,13 JUL 2001,Jelena PROKOPČUKA,9,21 SEP 1976,Oslo (NOR),LAT
43,15:15.49,04 JUN 2001,Breeda DENNEHY-WILLIS,9,02 FEB 1970,Hengelo (NED),IRL
44,15:15.75,23 NOV 2001,Yanan WEI,5,06 DEC 1981,Guangzhou (CHN),CHN
45,15:17.31,22 JUL 2001,Rodica Daniela MOROIANU,8,18 NOV 1970,London (GBR),FRA
46,15:17.43,13 JUL 2001,Gunhild HALLE-HAUGEN,11,01 JUN 1972,Oslo (NOR),NOR
47,15:17.95,13 JUL 2001,Yamna BELKACEM-OUBOUHOU,12,20 FEB 1974,Oslo (NOR),FRA
48,15:18.05,22 JUL 2001,Irene LIMIKA,9,28 AUG 1979,London (GBR),KEN
49,15:18.80,14 JUL 2001,Maria MCCAMBRIDGE,7,10 JUL 1975,Heusden-Zolder (BEL),IRL
50,15:19.08,23 NOV 2001,Limei JU,6,09 JUN 1978,Guangzhou (CHN),CHN
51,15:19.12,14 JUL 2001,Una ENGLISH,8,14 AUG 1970,Heusden-Zolder (BEL),IRL
51,15:19.12,22 JUL 2001,Hayley YELLING-HIGHAM,10,03 JAN 1974,London (GBR),GBR
53,15:19.14,23 NOV 2001,Chunmei WANG,7,10 APR 1976,Guangzhou (CHN),CHN
54,15:19.75,17 JUL 2001,Megumi TANAKA-OSHIMA,9,04 SEP 1975,Stockholm (SWE),JPN
55,15:20.46,14 JUL 2001,Chrysostomia IAKOVOU,9,09 APR 1971,Heusden-Zolder (BEL),GRE
56,15:21.01,17 JUL 2001,M&#243;nica ROSA,10,05 MAY 1978,Stockholm (SWE),POR
57,15:21.12,20 JUL 2001,Elvan ABEYLEGESSE,1,11 SEP 1982,Grosseto (ITA),TUR
58,15:21.95,23 JUN 2001,Nataliya BERKUT,1,30 MAY 1975,Budapest (HUN),UKR
59,15:22.00,10 MAY 2001,Nancy WAMBUI,1,28 JUL 1986,Nairobi (KEN),KEN
60,15:22.06,14 JUL 2001,Marleen RENDERS,10,24 DEC 1968,Heusden-Zolder (BEL),BEL
61,15:22.26,10 JUL 2001,Dulce Mar&#237;a RODR&#205;GUEZ,1,14 AUG 1972,Montreal (CAN),MEX
62,15:22.70,10 JUL 2001,Akiko KAWASHIMA,2,05 AUG 1977,Montreal (CAN),JPN
63,15:23.23,14 JUL 2001,Maria Cristina PETITE,11,10 MAY 1972,Heusden-Zolder (BEL),ESP
64,15:23.46,22 JUL 2001,Helena JAVORNIK,13,26 MAR 1966,London (GBR),SLO
65,15:23.87,04 SEP 2001,Susie POWER,5,26 MAR 1975,Brisbane (AUS),AUS
66,15:23.93,09 AUG 2001,Haruko OKAMOTO,10h2,19 AUG 1974,Edmonton (CAN),JPN
67,15:24.71,23 NOV 2001,Yanyan DAI,8,08 JAN 1980,Guangzhou (CHN),CHN
68,15:24.97,23 NOV 2001,Min LIU,9,29 NOV 1983,Guangzhou (CHN),CHN
69,15:25.52,14 JUL 2001,Carrie TOLLEFSON,12,18 JAN 1977,Heusden-Zolder (BEL),USA
70,15:26.41,22 JUL 2001,Ana DIAS,1,15 JAN 1974,Lisboa (POR),POR
71,15:26.60,13 OCT 2001,Ikuko TAMURA,1,24 SEP 1978,Tashima (JPN),JPN
72,15:26.84,23 JUN 2001,Olivera JEVTIĆ,2,24 JUL 1977,Budapest (HUN),SRB
73,15:26.95,24 JUN 2001,Clare TAYLOR,5,07 DEC 1969,Eugene (USA),USA
74,15:28.07,27 JUL 2001,Yelena BURYKINA,1,07 MAY 1972,Moskva (RUS),RUS
75,15:28.17,04 JUN 2001,Zhor EL KAMCH,10,15 MAR 1973,Hengelo (NED),MAR
76,15:28.32,17 OCT 2001,Yoshiko FUJINAGA,3,15 AUG 1981,Rifu (JPN),JPN
77,15:28.94,15 SEP 2001,Yasuko HASHIMOTO,4,12 AUG 1975,Yokohama (JPN),JPN
